#{"t_start": 1743499255.208805, "env_id": "None"}
r,l,t
-8.0,20,0.037187
77.0,11,0.0405
140.0,50,0.054863
157.0,50,0.071722
63.0,49,0.088512
35.0,6,0.090605
102.0,35,0.107897
5.0,10,0.111077
70.0,17,0.1159
44.0,15,0.120357
129.0,42,0.137897
129.0,35,0.157663
92.0,16,0.164589
29.0,5,0.166552
43.0,16,0.171515
8.0,3,0.172531
27.0,13,0.176426
4.0,8,0.178962
118.0,30,0.188307
112.0,50,0.202319
53.0,10,0.207591
116.0,23,0.219249
23.0,17,0.231106
22.0,7,0.234053
23.0,7,0.236677
42.0,15,0.241112
89.0,39,0.252744
11.0,50,0.269181
5.0,1,0.269568
139.0,22,0.276165
24.0,49,0.299898
-7.0,23,0.307553
-2.0,2,0.308284
94.0,24,0.317895
122.0,36,0.32873
14.0,11,0.33217
56.0,11,0.335353
18.0,3,0.337834
49.0,17,0.342843
118.0,46,0.357097
28.0,13,0.366007
160.0,50,0.387793
4.0,13,0.391578
42.0,35,0.403167
72.0,27,0.411069
62.0,39,0.422532
-13.0,15,0.426914
21.0,11,0.430013
6.0,17,0.434704
134.0,50,0.44854
82.0,16,0.456727
45.0,11,0.462913
166.0,43,0.479553
18.0,24,0.488486
7.0,6,0.490721
63.0,26,0.498894
49.0,40,0.515446
111.0,20,0.524382
105.0,47,0.557818
23.0,7,0.559953
154.0,25,0.577441
71.0,45,0.595517
29.0,12,0.600916
129.0,18,0.607202
-2.0,23,0.614527
69.0,16,0.621482
207.0,50,0.641165
47.0,20,0.646892
78.0,28,0.655088
30.0,15,0.659214
96.0,32,0.682144
173.0,50,0.699128
26.0,18,0.705616
104.0,50,0.720356
45.0,5,0.721862
106.0,18,0.72723
14.0,12,0.730637
79.0,47,0.744075
32.0,13,0.747846
3.0,2,0.748488
55.0,9,0.753723
59.0,16,0.762131
21.0,15,0.770859
40.0,16,0.776292
50.0,8,0.778931
36.0,11,0.782603
120.0,50,0.799523
13.0,34,0.811179
193.0,50,0.825495
11.0,10,0.828416
8.0,3,0.831721
66.0,21,0.842043
-30.0,30,0.85074
155.0,30,0.863963
1.0,3,0.864924
207.0,50,0.881885
13.0,1,0.882396
158.0,31,0.893171
6.0,3,0.894159
136.0,50,0.908341
130.0,26,0.922546
34.0,13,0.926655
23.0,10,0.929512
34.0,12,0.932892
23.0,6,0.935428
87.0,18,0.943957
119.0,43,0.959102
8.0,3,0.960135
191.0,47,0.978406
29.0,7,0.981679
52.0,30,0.99601
145.0,32,1.010853
19.0,7,1.013075
30.0,10,1.016204
10.0,3,1.017452
56.0,24,1.026886
110.0,49,1.041684
188.0,50,1.056808
6.0,25,1.063963
15.0,22,1.070491
33.0,21,1.083052
211.0,50,1.106583
151.0,31,1.120429
30.0,7,1.122548
38.0,5,1.124488
-14.0,8,1.127113
54.0,8,1.129776
12.0,18,1.135034
140.0,28,1.144348
44.0,19,1.149641
56.0,12,1.154672
138.0,47,1.178584
24.0,14,1.182803
92.0,50,1.199124
0.0,1,1.199501
153.0,39,1.211602
18.0,2,1.212305
45.0,11,1.215366
35.0,5,1.216878
35.0,12,1.221603
21.0,15,1.232515
160.0,50,1.253247
49.0,27,1.261388
119.0,26,1.268855
135.0,46,1.287973
126.0,50,1.302921
31.0,48,1.316802
21.0,6,1.318797
26.0,15,1.324927
3.0,3,1.326778
58.0,8,1.330935
76.0,21,1.343167
1.0,7,1.345519
98.0,18,1.350831
10.0,2,1.351539
12.0,1,1.351897
51.0,21,1.363132
73.0,38,1.376581
170.0,50,1.3924
28.0,12,1.395838
148.0,50,1.42238
76.0,50,1.43955
6.0,3,1.440457
216.0,50,1.456085
166.0,50,1.472502
51.0,8,1.474856
43.0,22,1.483885
36.0,14,1.487923
-7.0,30,1.496073
43.0,38,1.507094
80.0,30,1.523617
79.0,24,1.535674
45.0,5,1.537697
37.0,21,1.544138
34.0,14,1.549377
80.0,30,1.559063
44.0,9,1.561704
42.0,11,1.56478
86.0,43,1.577315
47.0,27,1.585156
-22.0,25,1.603392
0.0,4,1.606611
43.0,7,1.608721
34.0,17,1.6134
38.0,27,1.623412
12.0,1,1.623791
15.0,2,1.624745
28.0,2,1.625479
116.0,31,1.634922
150.0,34,1.645182
0.0,2,1.648195
53.0,21,1.661377
185.0,50,1.689894
165.0,50,1.704443
63.0,36,1.718835
12.0,15,1.723351
50.0,13,1.727447
40.0,24,1.734096
11.0,2,1.736049
79.0,42,1.748274
40.0,16,1.755262
-24.0,16,1.764392
66.0,21,1.774579
9.0,7,1.776743
24.0,8,1.779016
54.0,24,1.787352
0.0,1,1.787744
0.0,1,1.78815
33.0,15,1.792508
185.0,50,1.806797
32.0,12,1.814411
33.0,15,1.81899
45.0,29,1.831032
46.0,14,1.835076
37.0,22,1.846371
13.0,1,1.846747
0.0,1,1.847081
54.0,16,1.851559
44.0,25,1.859323
33.0,5,1.860785
131.0,50,1.882976
29.0,7,1.885036
16.0,13,1.889809
217.0,50,1.908286
99.0,19,1.914393
27.0,10,1.917282
-6.0,4,1.918533
57.0,30,1.927797
188.0,50,1.941617
4.0,4,1.94369
187.0,49,1.968806
-12.0,3,1.970204
29.0,6,1.972703
-26.0,27,1.982189
126.0,43,1.996045
58.0,15,2.000715
69.0,15,2.005458
100.0,50,2.02099
24.0,4,2.022782
-6.0,10,2.025831
102.0,35,2.045085
96.0,23,2.051461
33.0,4,2.05263
51.0,46,2.068369
50.0,16,2.073307
20.0,10,2.076391
63.0,26,2.084091
139.0,24,2.09134
76.0,37,2.102556
34.0,14,2.106706
92.0,47,2.132162
0.0,24,2.139438
86.0,25,2.146506
-1.0,16,2.151042
187.0,34,2.160522
176.0,50,2.175604
31.0,17,2.180464
177.0,50,2.19441
46.0,10,2.197351
0.0,1,2.197709
76.0,50,2.218529
13.0,15,2.224293
131.0,40,2.23876
152.0,35,2.248727
42.0,14,2.253836
76.0,17,2.25985
28.0,18,2.26518
59.0,18,2.271538
-7.0,3,2.272771
-2.0,29,2.280958
110.0,38,2.300363
-15.0,12,2.305809
11.0,7,2.307911
217.0,49,2.324
79.0,50,2.338293
22.0,9,2.342169
47.0,10,2.345181
33.0,7,2.347297
133.0,40,2.358768
-19.0,12,2.362131
105.0,25,2.375512
57.0,15,2.38026
-6.0,12,2.387704
6.0,4,2.389739
221.0,49,2.405657
25.0,36,2.41583
123.0,50,2.431902
55.0,43,2.443885
121.0,50,2.45751
-4.0,5,2.45896
31.0,6,2.463222
6.0,4,2.46442
152.0,49,2.487485
13.0,12,2.49093
180.0,42,2.505278
-1.0,24,2.512008
13.0,4,2.513187
44.0,8,2.515678
111.0,39,2.527618
127.0,50,2.541859
45.0,23,2.556808
25.0,10,2.559754
15.0,5,2.561346
51.0,21,2.567582
91.0,50,2.585072
-4.0,50,2.599422
44.0,18,2.606811
67.0,17,2.611852
143.0,50,2.626514
69.0,20,2.632107
59.0,33,2.64808
48.0,22,2.658448
21.0,3,2.659434
14.0,10,2.662363
84.0,50,2.678407
124.0,49,2.694915
70.0,24,2.702738
16.0,26,2.740418
91.0,28,2.748888
-2.0,2,2.749606
18.0,2,2.751676
15.0,2,2.752665
88.0,28,2.772192
0.0,1,2.773141
3.0,3,2.774196
209.0,50,2.792123
29.0,11,2.796118
81.0,44,2.808927
122.0,46,2.8228
18.0,13,2.826622
39.0,6,2.829943
39.0,14,2.835199
174.0,50,2.857193
19.0,4,2.858405
86.0,35,2.870382
13.0,25,2.878073
195.0,50,2.894072
143.0,34,2.903348
26.0,13,2.907064
81.0,31,2.915639
8.0,4,2.919359
43.0,7,2.921703
122.0,30,2.93932
67.0,22,2.945663
63.0,19,2.953075
99.0,50,2.967481
121.0,27,2.976769
33.0,7,2.978834
13.0,1,2.979186
80.0,19,2.984648
86.0,15,2.993189
105.0,29,3.009138
44.0,42,3.023269
121.0,31,3.032112
22.0,10,3.035163
78.0,50,3.0498
120.0,50,3.065048
-9.0,13,3.068787
0.0,1,3.069145
75.0,20,3.074891
25.0,8,3.079783
10.0,10,3.086247
67.0,13,3.093843
49.0,18,3.099005
135.0,24,3.109797
49.0,28,3.119633
18.0,2,3.120657
28.0,5,3.122382
152.0,50,3.137153
15.0,1,3.137705
93.0,50,3.157643
-24.0,21,3.16355
47.0,25,3.175998
57.0,31,3.184599
54.0,16,3.191427
66.0,11,3.194566
75.0,22,3.201205
39.0,10,3.20442
0.0,4,3.205874
57.0,50,3.222083
136.0,42,3.244482
28.0,19,3.249905
72.0,14,3.254184
23.0,15,3.258689
42.0,17,3.263382
140.0,50,3.277675
95.0,44,3.290343
26.0,10,3.293214
52.0,19,3.298805
100.0,29,3.307066
28.0,7,3.31175
93.0,22,3.326437
1.0,4,3.327699
86.0,36,3.338657
19.0,16,3.343372
53.0,15,3.348493
39.0,8,3.350788
36.0,5,3.352267
42.0,13,3.358637
83.0,17,3.364484
61.0,13,3.381921
112.0,25,3.391529
38.0,17,3.399026
97.0,40,3.414005
109.0,20,3.421522
25.0,4,3.423106
40.0,5,3.42518
62.0,35,3.43533
0.0,1,3.435711
-7.0,4,3.43702
15.0,4,3.439751
149.0,40,3.459005
6.0,24,3.469451
3.0,3,3.470752
147.0,31,3.480589
17.0,23,3.490938
11.0,20,3.497074
98.0,24,3.50447
16.0,9,3.507303
33.0,5,3.508871
60.0,31,3.527569
55.0,16,3.534584
131.0,26,3.542052
101.0,30,3.55077
150.0,44,3.563658
35.0,12,3.567043
-31.0,21,3.573885
129.0,50,3.588721
39.0,31,3.59722
41.0,25,3.606611
66.0,40,3.626862
-10.0,11,3.630012
51.0,20,3.638835
80.0,39,3.649398
66.0,28,3.657647
70.0,12,3.661079
28.0,17,3.667366
73.0,50,3.699097
181.0,50,3.717675
43.0,7,3.720419
51.0,24,3.733025
107.0,27,3.84353
8.0,12,3.85018
160.0,32,3.865623
39.0,10,3.870576
83.0,33,3.885625
47.0,15,3.892867
92.0,50,3.919197
118.0,50,3.95108
41.0,10,3.956418
0.0,1,3.968156
28.0,12,3.98184
130.0,50,4.000756
116.0,50,4.025201
39.0,16,4.041259
42.0,15,4.048737
16.0,3,4.054458
96.0,34,4.121356
2.0,1,4.122012
18.0,8,4.125641
78.0,19,4.135217
57.0,35,4.161948
50.0,13,4.174581
32.0,28,4.193177
44.0,11,4.200165
22.0,13,4.21177
66.0,21,4.226911
69.0,42,4.242931
36.0,10,4.250312
171.0,50,4.296334
25.0,5,4.328238
36.0,50,4.377934
154.0,50,4.401036
-12.0,17,4.409883
33.0,14,4.414081
3.0,9,4.416664
32.0,19,4.422524
20.0,13,4.42622
49.0,11,4.429433
111.0,33,4.438612
29.0,19,4.445774
42.0,14,4.452633
15.0,14,4.515499
56.0,18,4.523091
3.0,7,4.52526
18.0,7,4.527605
23.0,9,4.530431
47.0,28,4.539318
0.0,3,4.540315
24.0,11,4.544314
126.0,35,4.562196
53.0,17,4.570421
144.0,45,4.597568
60.0,21,4.603375
122.0,50,4.618025
89.0,22,4.624925
59.0,15,4.629567
-11.0,7,4.631605
20.0,18,4.636847
20.0,9,4.639754
9.0,5,4.64381
184.0,50,4.836644
44.0,14,4.840877
13.0,18,4.847642
172.0,50,4.864361
35.0,5,4.869489
179.0,50,4.885862
0.0,1,4.886577
36.0,22,4.893175
21.0,26,4.901813
33.0,5,4.907721
90.0,15,4.916645
77.0,14,4.92657
16.0,2,4.927257
-4.0,5,4.92898
-19.0,17,4.934555
47.0,20,4.948579
12.0,13,4.954448
105.0,50,4.971132
-15.0,8,4.977687
41.0,18,4.999086
13.0,1,4.999456
17.0,6,5.001331
229.0,50,5.026017
20.0,4,5.027285
49.0,21,5.033477
228.0,50,5.052717
29.0,9,5.055541
168.0,50,5.076976
18.0,24,5.084531
68.0,24,5.09822
109.0,41,5.11695
7.0,6,5.118771
31.0,16,5.124786
41.0,4,5.126068
61.0,13,5.129994
59.0,37,5.142392
163.0,43,5.158622
171.0,50,5.215251
41.0,18,5.226802
-8.0,8,5.241632
-46.0,10,5.250559
20.0,2,5.25243
16.0,5,5.257789
35.0,23,5.270615
73.0,14,5.28008
15.0,1,5.281005
22.0,22,5.290444
27.0,7,5.294355
51.0,13,5.299203
21.0,20,5.315739
40.0,10,5.327005
92.0,19,5.333175
46.0,6,5.339025
-10.0,2,5.340247
83.0,33,5.352866
63.0,31,5.365597
-14.0,6,5.36894
44.0,19,5.379823
46.0,18,5.387128
30.0,8,5.394001
85.0,26,5.418986
115.0,50,5.438821
129.0,31,5.450421
48.0,11,5.45396
159.0,50,5.470812
147.0,31,5.481659
92.0,50,5.502237
107.0,31,5.516001
61.0,15,5.527642
44.0,13,5.533137
31.0,27,5.547775
13.0,5,5.549503
49.0,40,5.56684
97.0,29,5.57914
8.0,5,5.581349
67.0,14,5.585708
202.0,50,5.602203
172.0,45,5.619045
-6.0,17,5.635341
86.0,50,5.667593
28.0,11,5.670913
85.0,38,5.697811
48.0,7,5.699992
23.0,17,5.705034
162.0,50,5.719438
-2.0,33,5.732114
88.0,22,5.742545
122.0,42,5.755269
-3.0,2,5.755932
41.0,8,5.759876
148.0,50,5.785394
11.0,4,5.786671
190.0,47,5.800278
142.0,50,5.8168
206.0,50,5.833336
105.0,50,5.850388
13.0,5,5.851891
101.0,49,5.865397
26.0,15,5.869875
38.0,6,5.874256
21.0,18,5.882689
-1.0,7,5.885177
76.0,14,5.893592
-6.0,9,5.896417
55.0,50,5.913044
56.0,50,5.929173
96.0,35,5.940774
-36.0,11,5.944819
11.0,13,5.948484
96.0,34,5.965066
2.0,1,5.965449
3.0,22,5.971881
4.0,10,5.98011
0.0,1,5.98049
48.0,43,5.995151
108.0,23,6.001476
99.0,29,6.010655
71.0,23,6.018229
-4.0,4,6.019669
210.0,49,6.042038
47.0,15,6.050256
34.0,27,6.058418
15.0,1,6.058811
41.0,12,6.062146
22.0,11,6.065287
82.0,22,6.071609
173.0,31,6.081187
57.0,20,6.086754
191.0,43,6.1018
36.0,4,6.107665
29.0,7,6.114539
56.0,17,6.123535
50.0,11,6.130995
73.0,30,6.142924
143.0,50,6.158095
98.0,18,6.164007
114.0,41,6.177626
-104.0,23,6.184086
30.0,18,6.189328
79.0,50,6.212438
54.0,20,6.220669
19.0,12,6.22495
0.0,14,6.228951
37.0,40,6.241243
22.0,23,6.249612
33.0,14,6.25368
66.0,25,6.261203
74.0,19,6.266736
187.0,50,6.281137
75.0,21,6.290527
69.0,21,6.299439
37.0,18,6.309382
6.0,16,6.31416
13.0,7,6.316342
129.0,43,6.332963
73.0,20,6.339167
96.0,50,6.353915
227.0,46,6.366782
47.0,25,6.374564
54.0,22,6.387446
-19.0,7,6.396682
45.0,25,6.403731
11.0,16,6.410903
13.0,9,6.414401
34.0,28,6.424794
97.0,44,6.43834
4.0,5,6.439839
196.0,42,6.451726
2.0,1,6.452532
55.0,50,6.480475
6.0,7,6.482613
1.0,4,6.483817
6.0,4,6.485067
72.0,21,6.49159
-15.0,4,6.492867
23.0,4,6.494078
24.0,24,6.500969
123.0,25,6.508271
47.0,18,6.513782
8.0,41,6.534011
33.0,4,6.535343
43.0,22,6.546366
49.0,25,6.55341
144.0,41,6.565801
139.0,44,6.579132
55.0,25,6.586313
-30.0,8,6.588945
99.0,33,6.598631
31.0,10,6.601474
63.0,21,6.613239
19.0,28,6.624907
74.0,47,6.644135
158.0,39,6.655886
165.0,45,6.67063
92.0,21,6.678152
-11.0,11,6.682196
49.0,35,6.692525
210.0,50,6.706231
61.0,25,6.713242
-13.0,10,6.71776
31.0,9,6.721239
115.0,50,6.7477
46.0,10,6.751242
45.0,15,6.757458
50.0,30,6.766932
20.0,27,6.776319
43.0,16,6.781347
32.0,14,6.785484
189.0,50,6.799873
-6.0,26,6.813206
155.0,50,6.833012
66.0,11,6.836173
15.0,1,6.836558
-3.0,5,6.838064
165.0,46,6.858716
27.0,13,6.862926
82.0,16,6.867401
8.0,3,6.868353
11.0,13,6.872682
24.0,34,6.889737
-18.0,10,6.896516
99.0,46,6.910033
83.0,45,6.922942
140.0,42,6.935661
5.0,1,6.936043
60.0,38,6.948087
79.0,19,6.953546
14.0,30,6.962523
93.0,23,6.969032
47.0,14,6.97891
83.0,19,6.985452
95.0,50,7.004477
152.0,36,7.015208
115.0,38,7.026726
122.0,50,7.04155
23.0,4,7.042784
13.0,1,7.043134
112.0,50,7.057077
6.0,26,7.064178
98.0,31,7.081774
37.0,26,7.091722
23.0,5,7.093249
170.0,42,7.106947
79.0,20,7.112844
43.0,26,7.123072
26.0,4,7.124955
116.0,29,7.13331
-21.0,8,7.135688
53.0,36,7.146396
64.0,14,7.152906
28.0,7,7.157237
68.0,6,7.160777
145.0,32,7.175923
-9.0,7,7.178177
57.0,12,7.181622
124.0,32,7.193223
112.0,27,7.200687
95.0,50,7.217946
31.0,24,7.225119
90.0,26,7.241451
167.0,50,7.259376
152.0,41,7.271363
-20.0,50,7.287043
43.0,35,7.299035
31.0,50,7.313412
23.0,7,7.315515
41.0,29,7.323855
52.0,13,7.327531
-18.0,10,7.330385
67.0,28,7.345908
5.0,13,7.34955
30.0,13,7.356922
32.0,12,7.360638
121.0,41,7.375883
16.0,11,7.379117
12.0,7,7.382087
95.0,13,7.385943
42.0,18,7.392883
31.0,11,7.396399
130.0,35,7.416584
34.0,22,7.428454
108.0,41,7.440696
169.0,45,7.454944
44.0,11,7.459298
203.0,50,7.473614
41.0,6,7.475911
204.0,50,7.491988
106.0,50,7.50571
80.0,34,7.515739
-19.0,23,7.537242
169.0,41,7.58128
34.0,23,7.588635
121.0,28,7.596707
36.0,33,7.60607
13.0,1,7.606525
125.0,50,7.620595
238.0,50,7.636564
33.0,3,7.637486
17.0,6,7.639659
66.0,19,7.650533
30.0,3,7.651476
38.0,6,7.654175
9.0,8,7.658447
3.0,9,7.662479
95.0,40,7.680023
-5.0,5,7.681516
145.0,42,7.693843
4.0,8,7.696199
175.0,39,7.707916
8.0,10,7.713347
41.0,5,7.71791
6.0,3,7.719368
68.0,16,7.727482
27.0,17,7.732547
1.0,6,7.737861
70.0,14,7.742418
53.0,7,7.744482
70.0,34,7.754301
21.0,4,7.75556
31.0,6,7.759187
10.0,2,7.759894
115.0,48,7.779388
106.0,50,7.803203
59.0,19,7.808936
41.0,17,7.814022
0.0,18,7.820371
3.0,2,7.821032
146.0,48,7.835382
25.0,11,7.838684
11.0,50,7.863702
60.0,19,7.869487
75.0,7,7.874385
50.0,16,7.87901
127.0,43,7.892574
112.0,33,7.903368
52.0,18,7.90889
50.0,25,7.915895
18.0,9,7.918515
70.0,47,7.934811
14.0,20,7.947931
13.0,1,7.948398
20.0,33,7.96553
31.0,10,7.96864
38.0,4,7.972835
125.0,32,7.985623
13.0,16,7.991225
55.0,30,8.000226
54.0,23,8.006983
79.0,37,8.017242
46.0,9,8.022717
154.0,40,8.038966
116.0,28,8.052577
114.0,24,8.060077
46.0,23,8.066686
-3.0,11,8.069757
27.0,20,8.076602
107.0,32,8.088768
178.0,45,8.101741
120.0,50,8.115619
-26.0,12,8.121124
106.0,28,8.142715
10.0,2,8.14585
109.0,39,8.158784
91.0,50,8.177866
6.0,7,8.180034
87.0,29,8.188399
31.0,21,8.194557
33.0,7,8.196568
209.0,50,8.21058
-10.0,11,8.216305
121.0,26,8.229592
66.0,16,8.237011
16.0,4,8.238438
211.0,50,8.255276
160.0,45,8.278518
123.0,50,8.292615
34.0,11,8.295794
11.0,8,8.299314
103.0,21,8.307132
64.0,41,8.330072
94.0,50,8.346475
74.0,42,8.359101
25.0,43,8.371565
47.0,11,8.375156
53.0,8,8.377556
29.0,8,8.379928
3.0,5,8.381446
46.0,50,8.395606
48.0,19,8.400944
99.0,50,8.428496
40.0,8,8.43092
33.0,6,8.432829
90.0,32,8.443703
70.0,50,8.458029
128.0,50,8.474357
-2.0,4,8.476922
125.0,31,8.489282
25.0,8,8.492986
14.0,11,8.49779
50.0,21,8.513314
-17.0,20,8.521055
38.0,4,8.527083
96.0,49,8.557951
167.0,50,8.58448
177.0,50,8.609267
117.0,40,8.645147
-11.0,20,8.659377
-11.0,5,8.6628
110.0,50,8.70529
127.0,48,8.744238
10.0,14,8.761476
213.0,50,8.801358
75.0,34,8.820218
43.0,20,8.834751
85.0,27,8.847051
155.0,24,8.867929
178.0,50,8.899588
20.0,3,8.901315
21.0,4,8.903706
14.0,10,8.923877
-12.0,8,8.949373
44.0,48,9.021045
70.0,16,9.040361
57.0,17,9.052258
124.0,36,9.069042
41.0,13,9.084716
34.0,50,9.11202
18.0,15,9.12083
85.0,24,9.152487
69.0,45,9.198242
18.0,5,9.204701
182.0,50,9.237448
16.0,27,9.248608
46.0,20,9.266311
49.0,31,9.287628
47.0,12,9.292346
46.0,9,9.296081
49.0,10,9.299934
186.0,35,9.314574
50.0,12,9.337548
66.0,39,9.376575
22.0,12,9.387609
32.0,16,9.395649
-2.0,11,9.400684
15.0,2,9.401516
89.0,14,9.408748
31.0,33,9.418785
60.0,50,9.444379
22.0,43,9.46093
18.0,8,9.465065
86.0,40,9.493773
58.0,12,9.498596
83.0,19,9.505187
113.0,50,9.524877
5.0,1,9.525781
18.0,2,9.528769
8.0,6,9.534632
134.0,48,9.593324
43.0,12,9.600422
65.0,43,9.625516
1.0,6,9.627553
30.0,50,9.66002
52.0,15,9.668982
238.0,43,9.713549
171.0,31,9.728297
-6.0,7,9.731853
69.0,23,9.746124
102.0,29,9.755661
72.0,32,9.769063
10.0,20,9.789233
78.0,21,9.797598
61.0,18,9.805124
28.0,6,9.80723
167.0,50,9.824045
0.0,30,9.841774
34.0,34,9.85379
162.0,50,9.869622
34.0,35,9.896975
252.0,50,9.923703
78.0,10,9.936261
3.0,3,9.939702
8.0,6,9.943512
41.0,10,9.946382
82.0,35,9.960634
59.0,10,9.963491
0.0,1,9.963914
21.0,7,9.966118
-15.0,19,9.971901
3.0,9,9.980987
98.0,31,10.004042
-2.0,2,10.004766
62.0,50,10.025022
-2.0,20,10.039117
32.0,5,10.042366
64.0,50,10.061506
46.0,14,10.066322
133.0,50,10.099912
33.0,8,10.102337
13.0,1,10.102887
65.0,18,10.129405
144.0,36,10.154603
84.0,39,10.166569
31.0,6,10.169095
62.0,29,10.177944
12.0,1,10.178329
109.0,32,10.187507
55.0,8,10.189981
44.0,12,10.193652
84.0,22,10.19994
208.0,50,10.23021
166.0,50,10.246368
153.0,42,10.259451
95.0,50,10.276237
118.0,44,10.288749
22.0,29,10.29726
17.0,13,10.301083
2.0,1,10.301503
3.0,2,10.302128
25.0,7,10.304167
52.0,26,10.317451
63.0,30,10.328763
18.0,18,10.337926
8.0,6,10.340311
54.0,16,10.345492
74.0,15,10.350732
9.0,9,10.353341
44.0,16,10.358185
62.0,30,10.367236
82.0,33,10.377256
-36.0,13,10.382629
50.0,20,10.395164
218.0,50,10.412819
41.0,9,10.415451
13.0,22,10.422065
104.0,32,10.431858
14.0,20,10.438212
98.0,30,10.448498
50.0,6,10.450301
72.0,20,10.456329
28.0,3,10.458965
12.0,1,10.45935
8.0,8,10.462573
27.0,10,10.469365
24.0,5,10.471479
-2.0,14,10.477659
117.0,22,10.483952
2.0,9,10.489376
49.0,20,10.495461
143.0,25,10.502781
-4.0,5,10.507106
3.0,29,10.517773
13.0,1,10.518181
70.0,16,10.522707
32.0,9,10.664287
62.0,27,10.723488
17.0,17,10.7388
82.0,16,10.760895
50.0,42,10.819608
33.0,7,10.825202
119.0,23,10.859558
82.0,29,10.877942
-21.0,7,10.882601
12.0,8,10.887128
57.0,13,10.892322
36.0,6,10.894352
47.0,28,10.902671
67.0,26,10.910639
56.0,18,10.915766
38.0,10,10.918777
23.0,12,10.924177
42.0,32,10.94274
59.0,10,10.94598
77.0,19,10.951406
2.0,1,10.952864
14.0,6,10.955542
51.0,11,10.959128
17.0,7,10.961226
-6.0,5,10.962746
100.0,22,10.968945
140.0,50,10.991186
141.0,37,11.005959
77.0,14,11.016662
5.0,13,11.020534
14.0,6,11.022757
0.0,1,11.024184
0.0,1,11.026149
137.0,41,11.042173
-12.0,3,11.043474
30.0,4,11.04518
35.0,25,11.056762
39.0,15,11.071067
81.0,14,11.082764
28.0,8,11.086605
35.0,17,11.097382
27.0,6,11.099335
69.0,22,11.111755
47.0,25,11.12356
-5.0,8,11.130173
120.0,32,11.142081
168.0,43,11.167773
8.0,3,11.169514
0.0,1,11.169893
49.0,21,11.182747
20.0,9,11.186948
7.0,18,11.197741
44.0,9,11.202201
34.0,17,11.209776
151.0,38,11.220943
80.0,23,11.228671
-2.0,7,11.233533
23.0,5,11.235789
13.0,9,11.244087
98.0,43,11.260773
130.0,29,11.269071
190.0,43,11.282133
26.0,7,11.284178
113.0,27,11.294497
12.0,17,11.299604
90.0,37,11.31021
34.0,16,11.316586
47.0,20,11.332227
84.0,27,11.339809
200.0,50,11.356174
26.0,18,11.362033
80.0,17,11.366991
109.0,50,11.382946
155.0,50,11.39698
140.0,30,11.405202
53.0,35,11.414946
1.0,4,11.418681
121.0,50,11.442593
25.0,4,11.443848
26.0,12,11.449921
78.0,18,11.455758
12.0,14,11.460275
96.0,20,11.466857
36.0,8,11.469308
158.0,48,11.489384
-2.0,10,11.493171
51.0,22,11.505024
-1.0,23,11.522609
25.0,4,11.523892
101.0,14,11.533486
